Plattform,Künstler,Song,Platzierung,Jahr 
TikTok,Jawsh 685,Laxed (Siren Beat),1,2020
TikTok,Young Thug,Relationship,2,2020
TikTok,Megan Thee Stallion,Savage,3,2020
TikTok,Doja Cat,Say So,4,2020
TikTok,JACKBOYS & Travis Scott feat. Young Thug,OUT WEST,5,2020
TikTok,BENEE,Supalonely (feat. Gus Dapperton),6,2020
TikTok,Cardi B,WAP (feat. Megan Thee Stallion),7,2020
TikTok,Ke$ha ,Cannibal,8,2020
TikTok,Sarhad,Sinne,9,2020
TikTok,Capital Bra & Loredana,Nicht verdient,10,2020
Spotify,The Weeknd,Blinding Lights,1,2020
Spotify,Apache 207,Roller,2,2020
Spotify,SAINt JHN,Roses (Imanbek Remix),3,2020
Spotify,Topic feat. A7S,Breaking Me,4,2020
Spotify,DaBaby feat. Roddy Ricch,ROCKSTAR,5,2020
Charts,The Weeknd,Blinding Lights,1,2020
Charts,Tones And I,Dance Monkey,2,2020
Charts,Apache 207,Roller,3,2020
Charts,SAINt JHN,Roses (Imanbek Remix),4,2020
Charts,Topic feat. A7S,Breaking Me,5,2020
Charts,Ufo361,Emotions,6,2020
Charts,Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),7,2020
Charts,DaBaby feat. Roddy Ricch,ROCKSTAR,8,2020
Charts,Regard,Ride It,9,2020
Charts,Apache 207,Fame,10,2020
Charts,Nea,Some Say,11,2020
Charts,Pashanim,Airwaves,12,2020
Charts,Apache 207,Bläulich,13,2020
Charts,Robin Schulz feat. Alida,In Your Eyes,14,2020
Charts,Mark Forster,Übermorgen,15,2020
Charts,Vize & Tom Gregory,Never Let Me Down,16,2020
Charts,Ava Max,Kings & Queens,17,2020
Charts,24kGoldn feat. Iann Dior,Mood,18,2020
Charts,Dua Lipa,Don't Start Now,19,2020
Charts,Apache 207,200 km/h,20,2020